iter	RMSE
0	0.9995352892
1	0.9992217774
2	0.9989334741
3	0.9986501568
4	0.998381317
5	0.9981370774
6	0.9979134959
7	0.9977017804
8	0.9975086834
9	0.9973278952
10	0.99715844
11	0.996988694
12	0.996837726
13	0.9966902744
14	0.9965466355
15	0.9964205452
16	0.9962921114
17	0.9961883492
18	0.9960795922
19	0.9959723646
20	0.9958669948
21	0.9957590883
22	0.9956754446
23	0.9955953367
24	0.9955073157
25	0.9954233883
26	0.9953497245
27	0.995280551
28	0.995208977
29	0.9951463578
30	0.9950771702
31	0.995011129
32	0.9949373362
33	0.9948706291
34	0.9948128477
35	0.9947460994
36	0.994702594
37	0.9946402714
38	0.9945712456
39	0.9945248754
40	0.9944797183
41	0.9944165605
42	0.9943524462
43	0.9942944048
44	0.9942488101
45	0.9941983513
46	0.9941364898
47	0.9940835612
48	0.994041374
49	0.9940003022
50	0.9939570599
51	0.9939086237
52	0.9938701097
53	0.9938362936
54	0.9937926499
55	0.9937473609
56	0.9937003278
57	0.9936527994
58	0.9936088846
59	0.9935582618
60	0.9935226929
61	0.9934935333
62	0.9934480334
63	0.9934044712
64	0.9933631428
65	0.9933226348
66	0.9932873205
67	0.9932507224
68	0.9932130708
69	0.9931813041
70	0.9931473989
71	0.9931033302
72	0.9930541288
73	0.9930147593
74	0.9929755199
75	0.9929371341
76	0.9929023652
77	0.992861016
78	0.9928289421
79	0.9927936759
80	0.9927495257
81	0.992715178
82	0.9926722746
83	0.9926406881
84	0.992608607
85	0.9925724775
86	0.9925338129
87	0.9924895853
88	0.9924487455
89	0.9924099115
90	0.9923767697
91	0.9923388874
92	0.9923000491
93	0.9922624601
94	0.9922326052
95	0.9922086415
96	0.9921733863
97	0.9921325005
98	0.9921018515
99	0.9920679093
100	0.9920360073
101	0.9919999557
102	0.9919672612
103	0.9919352571
104	0.9918986751
105	0.9918633429
106	0.9918309403
107	0.9918007101
108	0.9917735087
109	0.9917395883
110	0.9917043493
111	0.9916732589
112	0.9916419699
113	0.9916202976
114	0.9915944088
115	0.9915626562
116	0.9915345918
117	0.9915136089
118	0.9914836655
119	0.9914545777
120	0.9914262467
121	0.9914003858
122	0.9913719544
123	0.9913409854
124	0.9913117946
125	0.9912862601
126	0.9912505108
127	0.9912137057
128	0.9911861587
129	0.9911611812
130	0.9911273387
131	0.9911016676
132	0.9910730959
133	0.9910412936
134	0.9910088971
135	0.9909821684
136	0.9909485174
137	0.9909161838
138	0.9908888593
139	0.9908643687
140	0.9908458768
141	0.990816935
142	0.990797684
143	0.99077629
144	0.9907567085
145	0.9907254235
146	0.9906914013
147	0.9906685872
148	0.9906424098
149	0.9906142204
150	0.9905918992
151	0.990560576
152	0.9905315271
153	0.9904994766
154	0.9904650179
155	0.9904408466
156	0.9904180927
157	0.9903974819
158	0.9903667462
159	0.9903335361
160	0.9903048763
161	0.9902811298
162	0.9902606481
163	0.9902323489
164	0.9902048076
165	0.9901773315
166	0.990148832
167	0.9901256096
168	0.9900944367
169	0.9900603267
170	0.9900294816
171	0.9900033533
172	0.9899796986
173	0.9899602993
174	0.9899405368
175	0.9899111067
176	0.9898792671
177	0.9898538937
178	0.9898356138
179	0.9898209963
180	0.9897918926
181	0.9897679029
182	0.9897440116
183	0.9897194927
184	0.9896920031
185	0.9896623676
186	0.9896335233
187	0.9896047771
188	0.9895805848
189	0.9895562929
190	0.9895262573
191	0.9895102489
192	0.9894881008
193	0.9894633115
194	0.9894351546
195	0.989410529
196	0.9893889399
197	0.9893621343
198	0.9893474438
199	0.989320307
200	0.9892931035
201	0.9892761008
202	0.9892644134
203	0.9892403119
204	0.989210927
205	0.9891911164
206	0.9891666499
207	0.9891448903
208	0.9891255077
209	0.9891022943
210	0.9890774623
211	0.9890569557
212	0.9890349955
213	0.9890042175
214	0.9889746275
215	0.988954548
216	0.9889304719
217	0.9889030925
218	0.9888827143
219	0.9888659689
220	0.9888425182
221	0.9888190339
222	0.9887949215
223	0.988779694
224	0.9887512864
225	0.9887247939
226	0.9886999524
227	0.9886756719
228	0.9886587248
229	0.9886327254
230	0.9886024965
231	0.9885795021
232	0.9885579939
233	0.9885382694
234	0.9885061212
235	0.9884854705
236	0.9884617795
237	0.9884326028
238	0.9884108931
239	0.9883890508
240	0.9883716361
241	0.98834553
242	0.9883201833
243	0.9883016107
244	0.9882745774
245	0.9882495924
246	0.9882285728
247	0.9882020994
248	0.9881798228
249	0.9881520259
250	0.9881287566
251	0.9881104449
252	0.9880834725
253	0.9880588132
254	0.9880354756
255	0.9880090631
256	0.9879933276
257	0.987965823
258	0.9879469132
259	0.9879172915
260	0.987897455
261	0.9878731878
262	0.9878543423
263	0.9878356288
264	0.9878220397
