iter	Passed	Remaining
0	54	54208
1	76	38274
2	96	32190
3	115	28808
4	131	26181
5	149	24775
6	165	23491
7	181	22522
8	198	21846
9	215	21353
10	231	20793
11	248	20439
12	263	20005
13	280	19752
14	296	19497
15	315	19379
16	333	19257
17	350	19096
18	367	18964
19	384	18830
20	401	18739
21	420	18713
22	438	18621
23	455	18535
24	473	18474
25	492	18447
26	510	18385
27	529	18374
28	545	18272
29	566	18310
30	583	18242
31	601	18184
32	616	18065
33	633	17991
34	653	18009
35	673	18039
36	691	17986
37	709	17957
38	724	17848
39	738	17720
40	754	17647
41	770	17578
42	787	17532
43	805	17498
44	821	17435
45	837	17366
46	854	17333
47	870	17262
48	888	17240
49	904	17177
50	920	17131
51	937	17091
52	953	17036
53	970	16995
54	986	16949
55	1003	16917
56	1019	16861
57	1034	16802
58	1050	16760
59	1073	16814
60	1092	16809
61	1110	16802
62	1129	16795
63	1150	16823
64	1166	16781
65	1181	16723
66	1197	16670
67	1214	16643
68	1229	16595
69	1244	16538
70	1261	16501
71	1279	16492
72	1296	16461
73	1313	16434
74	1328	16390
75	1346	16367
76	1362	16334
77	1379	16302
78	1395	16263
79	1411	16227
80	1427	16194
81	1444	16169
82	1460	16132
83	1477	16114
84	1497	16120
85	1516	16113
86	1534	16100
87	1549	16060
88	1567	16040
89	1585	16030
90	1601	15997
91	1618	15974
92	1637	15967
93	1654	15942
94	1672	15929
95	1688	15899
96	1706	15882
97	1722	15854
98	1739	15833
99	1757	15814
100	1773	15788
101	1790	15762
102	1809	15758
103	1827	15740
104	1844	15724
105	1863	15714
106	1878	15674
107	1894	15649
108	1912	15629
109	1926	15589
110	1944	15576
111	1962	15559
112	1978	15532
113	1995	15509
114	2014	15500
115	2029	15467
116	2046	15445
117	2063	15427
118	2080	15400
119	2097	15383
120	2115	15367
121	2131	15337
122	2148	15320
123	2167	15312
124	2185	15298
125	2204	15290
126	2221	15270
127	2238	15246
128	2255	15227
129	2271	15203
130	2288	15183
131	2305	15159
132	2322	15141
